feature_type,feature,estimate,std_error,z,p_value,ci_low,ci_high,tau2,i2,q,k,fdr
pathway,CURATED_ANTIANGIOGENIC_VASCULAR_STRESS,0.9589271931922062,0.11955689038169992,8.020676935730885,1.0516398403061825e-15,0.7245956880440744,1.1932586983403382,0.0,0.0,0.2549165631432822,3.0,1.0516398403061825e-14
pathway,HALLMARK_HYPOXIA,0.9577155228721921,0.12418780251351313,7.711832430306359,1.2402391050387354e-14,0.7143074299457064,1.2011236157986778,0.0,0.0,0.3415274375368369,3.0,6.201195525193677e-14
pathway,HALLMARK_TNF_ALPHA_SIGNALING_VIA_NF_KB,0.6459563881606126,0.13812804107162982,4.676504373399717,2.9180637954310823e-06,0.37522542766021816,0.9166873486610071,0.0,0.0,0.05631263295452431,3.0,9.726879318103607e-06
pathway,CURATED_HIF1_TWIST1_MIR214_HOST_AXIS,-0.7887984449548807,0.3204667594299818,-2.461404878178087,0.01383940904508764,-1.416913293437645,-0.16068359647211639,0.01931491035949951,9.246010598792541,1.1018799356347582,2.0,0.034598522612719104
pathway,HALLMARK_INFLAMMATORY_RESPONSE,0.3330798846505159,0.1434248742609792,2.322329974955642,0.020215174713728475,0.0519671310989967,0.6141926382020351,0.0,0.0,0.5512311249013402,3.0,0.04043034942745695
pathway,CURATED_EXTRAVILLOUS_TROPHOBLAST_INVASION,0.30807197550700244,0.14705447511358233,2.0949513795418535,0.036175314796766035,0.01984520428438108,0.5962987467296238,0.0,0.0,0.3726023139015991,3.0,0.06029219132794339
pathway,CURATED_PROANGIOGENIC_SUPPORT,-0.5885681825465544,0.481465564341174,-1.2224512532935499,0.22153702731352198,-1.5322406886552553,0.3551043235621466,0.5957721450646374,87.18420501566933,15.605742776357737,3.0,0.3164814675907457
pathway,CURATED_ENDOTHELIAL_NO_SIGNALING,-0.36939672890999464,0.5398690329989961,-0.6842339647784197,0.4938274380226655,-1.427540033588027,0.6887465757680378,0.7668527311913507,89.02596460548283,18.22483642616312,3.0,0.6172842975283319
pathway,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.08477418122139066,0.22014765685806842,0.38507873502394574,0.7001790824660107,-0.3467152262204234,0.5162635886632048,0.04991772673814847,28.278800919570013,2.7885757985684942,3.0,0.7779767582955674
pathway,HALLMARK_ANGIOGENESIS,0.05258784778932071,0.24686644964482304,0.21302144485401325,0.8313102359769949,-0.43127039351453245,0.5364460890931738,0.07704861185086571,38.0428996740597,3.228040030082939,3.0,0.8313102359769949
