analysis,feature,estimate,std_error,t_stat,p_value,n,df_resid,fdr
GSE177049_standardized_group_effect,hsa-mir-155-5p,-1.310697285572228,0.48503513089177275,-2.7022728913726617,0.026978915704964544,10,8,0.10791566281985818
GSE177049_standardized_group_effect,hsa-mir-31-5p,0.6564562964452452,0.6293910877643359,1.043002211513747,0.32743767642515886,10,8,0.6548753528503177
GSE177049_standardized_group_effect,hsa-mir-214-3p,-0.45838739103288123,0.6509494027708748,-0.7041828275464711,0.5012992234026258,10,8,0.6683989645368343
GSE177049_standardized_group_effect,hsa-mir-1290,-0.2340239769671924,0.6656982028483759,-0.3515466557756283,0.7342578556754392,10,8,0.7342578556754392
