mirna,target,rho,p_value,n,fdr
hsa-mir-214-3p,PGF,-0.4666666666666666,0.17393859716506654,10,0.23191812955342206
hsa-mir-214-3p,NOS3,-0.5030303030303029,0.13833369839449194,10,0.23191812955342206
hsa-mir-31-5p,NOS3,0.5515151515151515,0.09840117666963498,10,0.23191812955342206
hsa-mir-155-5p,NOS3,-0.2727272727272727,0.4458383415427516,10,0.4458383415427516
