feature_type,feature,estimate,std_error,z,p_value,ci_low,ci_high,tau2,i2,q,k,fdr
gene,FLT1,1.4688826645168735,0.19333214920458344,7.597715488914918,3.014040675556818e-14,1.08995165207589,1.847813676957857,0.07033279293891895,65.47780736927265,5.7933747760269725,3.0,9.730003890527372e-12
gene,ENG,1.277295387046602,0.2013805074239405,6.342696239004285,2.2577833316023335e-10,0.8825895924956786,1.6720011815975253,0.06857840608836709,55.61151866656405,4.505673408775725,3.0,3.01263555880138e-08
gene,SERPINE1,0.7924690636268031,0.13043639702597193,6.075520956539532,1.2358583802766676e-09,0.5368137254558982,1.048124401797708,0.0,0.0,1.5438450442757816,3.0,1.37420586006875e-07
gene,NFKB1,0.4661822825191665,0.1439180993120817,3.2392192833805113,0.001198573856416923,0.1841028078674864,0.7482617571708465,0.0,0.0,0.9474289554459776,3.0,0.014223614176012681
gene,TWIST1,-0.2986572017351841,0.13491964600046397,-2.2135931318271993,0.02685678021600686,-0.5630997078960935,-0.034214695574274756,0.0,0.0,0.4723273354161557,3.0,0.1295273388008138
gene,HIF1A,-0.49370663604622234,0.31058919797662343,-1.5895808330184789,0.11192932029287384,-1.1024614640804042,0.11504819198795957,0.17319505165282661,61.11627583993149,5.143540242613624,3.0,0.32430013689372755
gene,RELA,0.2196428920117538,0.14400936800466124,1.5251986384986043,0.12720956009331835,-0.06261546927738221,0.5019012533008897,0.0,0.0,1.37731647131769,3.0,0.3504610248131819
gene,KDR,-0.5512324004864756,0.3636812189433312,-1.5157021363051706,0.12959468722320436,-1.2640475896154046,0.16158278864245357,0.2885545017723368,73.87019055453786,7.654093322702481,3.0,0.35454314718048596
gene,IL1B,0.6588364718630392,0.48821360408819087,1.3494840503134096,0.1771815399736344,-0.2980621921498149,1.6157351358758931,0.3789883551849543,77.10969402104226,4.368661567561679,2.0,0.4278733211221566
gene,VEGFA,0.46354177492898097,0.36815869294843534,1.2590814336520504,0.2080009197916306,-0.25804926324995225,1.1851328131079142,0.2947777696756751,73.73746799654992,7.615411947855074,3.0,0.4705336155464499
gene,NOS3,-0.30594812452379944,0.27714492688015985,-1.1039282875132488,0.26962424693704623,-0.8491521812089127,0.23725593216131385,0.0722259196409665,32.36156285860431,1.4784492993377958,2.0,0.5442244153332977
gene,EDN1,-0.22799116924708251,0.4349992400748606,-0.5241185460642338,0.6001960899333167,-1.0805896797938095,0.6246073412996443,0.43349818040124205,78.42550016130781,9.270203318517522,3.0,0.8140347384408864
gene,PGF,0.1816346177455221,0.6900716637806467,0.263211239178281,0.7923877685413098,-1.1709058432645454,1.5341750787555897,1.2997760675677532,93.87455315142114,32.65067919843287,3.0,0.9108000155540208
gene,TNF,0.023740786811332997,0.16200270101736178,0.14654562338925883,0.8834906763890242,-0.29378450718269605,0.3412660808053621,0.0,0.0,0.0,1.0,0.9537458803838247
gene,DNM3OS,-0.00140462127980315,0.8698754580247825,-0.0016147383707003408,0.9987116257441625,-1.7063605190083768,1.7035512764487706,1.3129892006908706,86.62270520810745,7.475352943601579,2.0,0.9996106010536286
