gene_set,observed_estimate,matched_random_plus_one_p,label_permutation_plus_one_p,n_matched_random,n_label_permutations
CURATED_ANTIANGIOGENIC_VASCULAR_STRESS,0.9537330593774024,0.08183632734530938,0.001996007984031936,500,500
HALLMARK_HYPOXIA,0.9627758679409784,0.003992015968063872,0.001996007984031936,500,500
HALLMARK_TNF_ALPHA_SIGNALING_VIA_NF_KB,0.6387019786275345,0.06986027944111776,0.001996007984031936,500,500
HALLMARK_INFLAMMATORY_RESPONSE,0.32045122871373305,0.5029940119760479,0.03592814371257485,500,500
CURATED_EXTRAVILLOUS_TROPHOBLAST_INVASION,0.3047320954077174,0.5688622754491018,0.0658682634730539,500,500
CURATED_ENDOTHELIAL_NO_SIGNALING,0.23313053877852985,0.6187624750499002,0.1277445109780439,500,500
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.11300524423895278,0.8882235528942116,0.4590818363273453,500,500
HALLMARK_ANGIOGENESIS,-0.10008782916008355,0.8502994011976048,0.5269461077844312,500,500
CURATED_PROANGIOGENIC_SUPPORT,-0.07950491176913745,0.8822355289421158,0.6427145708582834,500,500
