cohort,feature,estimate,std_error,t_stat,p_value,n,df_resid,fdr
GSE44711,IGFLR1,-1.783751071738037,0.21629937575212657,-8.246676928842222,1.6011441398343426e-06,16,13,0.007377249893937739
GSE44711,IER5,1.7613379670218685,0.2141578867669571,8.224483317481209,1.6495207389943717e-06,16,13,0.007377249893937739
GSE44711,STK32B,-1.7607497806240302,0.21976557700704424,-8.011945294633618,2.1999246524521233e-06,16,13,0.007377249893937739
GSE44711,CXCR6,1.7655971574664173,0.22283426927894082,7.923364584718644,2.4842940834894507e-06,16,13,0.007377249893937739
GSE44711,PEX11G,-1.762276646299187,0.22837107497434406,-7.716724399082357,3.3108794554344466e-06,16,13,0.007377249893937739
GSE44711,RYR1,-1.75924447472244,0.22939274913461088,-7.6691372389023975,3.539870214161507e-06,16,13,0.007377249893937739
GSE44711,PTMS,-1.7615309230288811,0.22980939476885107,-7.665182377773023,3.5596436201901013e-06,16,13,0.007377249893937739
GSE44711,NDFIP2,1.7541503559825293,0.23148774090482901,7.577724630798953,4.02825739891488e-06,16,13,0.007377249893937739
GSE44711,JDP2,-1.7458886529458606,0.23961439383144356,-7.286242804653896,6.125043629230696e-06,16,13,0.007836514923968767
GSE44711,PPP1R16B,1.716319812517525,0.23602664924229141,7.271720452022557,6.25602080882044e-06,16,13,0.007836514923968767
GSE44711,SLC16A10,-1.741493403085237,0.24137794974557442,-7.214799052361106,6.798731309262227e-06,16,13,0.007836514923968767
GSE44711,HIVEP1,1.6188111518536497,0.22628383207056882,7.153896666151595,7.4350562323298895e-06,16,13,0.007836514923968767
GSE44711,PDPN,-1.729645457166091,0.24374573864978938,-7.096105420128893,8.097441460045829e-06,16,13,0.007836514923968767
GSE44711,KIAA1586,1.7282428445389502,0.24366268429028254,7.092767813720887,8.137557645392577e-06,16,13,0.007836514923968767
GSE44711,COL17A1,1.6997384047084647,0.24151320557576633,7.037869422735277,8.828500148390193e-06,16,13,0.007836514923968767
GSE44711,SLC17A8,1.7245235650868234,0.24534608484943635,7.028942671512882,8.946601513792038e-06,16,13,0.007836514923968767
GSE44711,XPR1,1.7322822185989146,0.246832319231687,7.018052676371457,9.092946127054061e-06,16,13,0.007836514923968767
GSE44711,SOD3,-1.6541187676673015,0.23901238734678526,-6.920640331780484,1.0520508473955482e-05,16,13,0.008183923435792306
GSE44711,PGLS,-1.7270802717453797,0.2497655871440918,-6.914804763512168,1.0613237682073157e-05,16,13,0.008183923435792306
GSE44711,ABCC5,-1.7059174178053376,0.2507113059848905,-6.804309885841954,1.254238984084662e-05,16,13,0.009187927677912192
GSE44711,MRPS31,1.7005624971837103,0.2515064788119465,6.761505728268874,1.3386517576724884e-05,16,13,0.009339327096028393
GSE44711,TRMT1,-1.6340402392307016,0.25007218954231486,-6.534274131887043,1.899426665576444e-05,16,13,0.011876747193328348
GSE44711,ATP6V0C,-1.7057574446334638,0.26104904633868875,-6.534241241473029,1.899523822244727e-05,16,13,0.011876747193328348
GSE44711,TTC38,-1.6334937650496921,0.2505797476384261,-6.5188578903301515,1.9455459193220966e-05,16,13,0.011876747193328348
GSE44711,DIO2,1.7002723630166905,0.2637968397833881,6.445385639997954,2.18217813683962e-05,16,13,0.012535155382101417
GSE44711,ST6GALNAC1,1.6891212237721092,0.2625659657957074,6.433130884474,2.2245173703817956e-05,16,13,0.012535155382101417
GSE44711,FOXRED2,-1.627171273548782,0.25620536611416495,-6.351042908382003,2.531445811803913e-05,16,13,0.01336281726880086
