matrix_column,HALLMARK_HYPOXIA,HALLMARK_TNF_ALPHA_SIGNALING_VIA_NF_KB,HALLMARK_ANGIOGENESIS,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,CURATED_PROANGIOGENIC_SUPPORT,CURATED_ANTIANGIOGENIC_VASCULAR_STRESS,CURATED_ENDOTHELIAL_NO_SIGNALING,CURATED_EXTRAVILLOUS_TROPHOBLAST_INVASION
GSM1074803,-1.3253544029630973,-1.2029001768372156,1.0312558233906954,-0.25510113887466557,0.709625610756624,0.8136020094519721,-1.2423693179984847,-0.8756754353702113,-0.19460876903887916
GSM1074804,0.46032943717305497,0.6726947026679951,1.6416089833206056,1.4417889417820646,2.0818353883924443,0.5938971134818005,0.5699594598420437,0.3923296113973329,1.9181252689016643
GSM1074805,1.2468581684460083,2.4542021161152365,1.589083740775716,1.8401306398910924,1.4800475138095421,0.2914329225498684,0.20756463717953402,1.31202290296627,1.3545501881474575
GSM1074806,-0.08038865921080858,0.5542179426909122,-0.25199784969321865,0.2973670567683442,0.15779101422335043,0.3373330477360811,-0.011210442985574767,0.8555032082639343,0.2917514880677126
GSM1074807,-0.030428282605657303,0.4646668197252319,0.1817010268490893,-0.21472493584752336,-0.06469380391776076,1.1445345005601772,-1.3023913510936445,1.5089335210496702,0.04839480411816014
GSM1074808,-0.535739926564191,0.01655974918504592,-0.9942106907399215,0.3117016213979091,-0.02649127685102259,0.727050966394998,-0.5285842224790428,-0.5187442525248638,0.21772762672780666
GSM1074809,-0.8381527908536893,-0.6968987432388827,-0.014940438499164432,-0.6308264854805091,-0.42127803773186173,-0.3195158998923981,-1.0765950509450317,-1.3611001279992792,0.05994079193698901
GSM1074810,2.1933745115231806,-0.1614277674528206,0.2242181091159844,0.6917128995715183,-0.11334247636930249,-2.0501894091873814,1.6303867884021206,-0.637596502407065,0.22953027970403922
GSM1074811,-1.1272346053213198,-1.0396771020161766,-1.325034282243264,-1.5442544602205561,-1.114467098396408,-1.6402006442235086,0.3774291918440683,-1.1117379619293821,-0.4269629295741148
GSM1074812,0.41477607066450495,-0.7181708702769787,-0.3400071464746793,-1.2932797690517503,-0.6932783442437327,-0.7311253923198688,1.4929933756517781,1.0966327444261859,-1.9482881754753814
GSM1074813,-0.46734143148466184,0.2680923216984724,-1.181429693762498,-0.10203815373766965,-1.1349284126551378,0.6047184044741797,-0.7358158295590279,-0.6167640638733375,-0.9717402123911207
GSM1074814,0.08930191119667598,-0.6113589922608202,-0.5602475820393454,-0.5424762161982536,-0.8608200770167341,0.22846238097407978,0.6186327621412621,-0.04380364399925379,-0.5784203611243336
