cohort,feature,estimate,std_error,t_stat,p_value,n,df_resid,fdr
GSE25906,UBL7,-1.4260393312295294,0.23024963416780292,-6.193448846873088,6.92075292119385e-08,60,57,0.001013959510484111
GSE25906,PCM1,1.3066375006505948,0.23179056366466502,5.637147086543727,5.60593215354787e-07,60,57,0.004106625599081492
GSE25906,CFDP1,1.3029426328825595,0.23761337743377892,5.483456558525119,9.917131045668176e-07,60,57,0.004739877295896973
GSE25906,PPIG,1.2848914631070507,0.23744202348795473,5.411390301650762,1.2940761165509447e-06,60,57,0.004739877295896973
GSE25906,KIF20B,1.1889623196407275,0.2259959409115117,5.260989710015471,2.2481730728319173e-06,60,57,0.005814750970853281
GSE25906,POLDIP2,-1.343944722147564,0.2562210487320265,-5.245254942161888,2.3813054279653053e-06,60,57,0.005814750970853281
GSE25906,TUBA1B,-1.1819302169526156,0.22738667867563764,-5.197886806019162,2.8307404742354933e-06,60,57,0.005924739812574888
GSE25906,SIAE,1.1996543500191361,0.23827537083634875,5.034739200314066,5.115978336404034e-06,60,57,0.009013499420610782
GSE25906,GNPTG,1.2202653073645748,0.24342902508375303,5.012817624951405,5.536925451197668e-06,60,57,0.009013499420610782
GSE25906,REEP5,1.3268815677872727,0.26695224624957864,4.97048287260616,6.448344006692463e-06,60,57,0.009447468804205128
GSE25906,SETX,1.282252855210426,0.2639832383995433,4.8573267870504475,9.669807510844277e-06,60,57,0.011060927693384107
GSE25906,TUBA1A,-1.0901306676746294,0.22454407680970168,-4.854862720776651,9.755158856073126e-06,60,57,0.011060927693384107
GSE25906,HSP90B1,1.1863656594728709,0.24445208681311917,4.8531623310699485,9.814487749231682e-06,60,57,0.011060927693384107
GSE25906,PPP1R8,-1.2595125190116294,0.26266792065962274,-4.795075530535623,1.2067838603619299e-05,60,57,0.012123942060311869
GSE25906,KIAA0020,1.2291749147496644,0.25676620423965635,4.787136680972223,1.2412745266854005e-05,60,57,0.012123942060311869
GSE25906,HMGCS1,1.1526043740454581,0.2434030006876784,4.735374546694344,1.4910248908954025e-05,60,57,0.01340857452221931
GSE25906,TRIM24,1.0466362923422188,0.2224361521611615,4.705333562791988,1.6578599871643057e-05,60,57,0.01340857452221931
GSE25906,NOD1,1.1832847037488585,0.251919766903122,4.697069699194749,1.706869355085867e-05,60,57,0.01340857452221931
GSE25906,TPR,1.121294618046719,0.24034573775494755,4.665340140918047,1.908549601939299e-05,60,57,0.01340857452221931
GSE25906,FERMT2,1.2700456077484563,0.2723109675862214,4.66395319662005,1.9178772341505704e-05,60,57,0.01340857452221931
GSE25906,RB1CC1,1.2210043211535253,0.26239000774446064,4.6533948897270925,1.990360410662953e-05,60,57,0.01340857452221931
GSE25906,MFF,-1.0886627510501776,0.23458616397093737,-4.640779884976724,2.0804773383125356e-05,60,57,0.01340857452221931
GSE25906,TMEM183A,-1.2133815483377735,0.26183116562781966,-4.634213598783488,2.12894944600268e-05,60,57,0.01340857452221931
GSE25906,PPP6R3,1.1629919263201773,0.251441111330113,4.625305385296774,2.1964766127449558e-05,60,57,0.01340857452221931
GSE25906,ZFPL1,-1.1858397594381078,0.25767081819443055,-4.602150013523492,2.3819370398346695e-05,60,57,0.013531778772809889
GSE25906,DNAJC3,1.0708316232824906,0.23283435506079214,4.599113489943959,2.407364100924204e-05,60,57,0.013531778772809889
GSE25906,NOL8,1.1796652233841094,0.2575330070335629,4.580637010270182,2.5678900293738357e-05,60,57,0.013531778772809889
GSE25906,RASGRP2,1.2354640747051986,0.26983372885307894,4.578612466115729,2.5861020110482346e-05,60,57,0.013531778772809889
GSE25906,ARHGAP27,1.057040735713231,0.2326646219076429,4.54319495179988,2.9258619371908765e-05,60,57,0.0147286358128871
GSE25906,SYF2,1.152345578401692,0.2541294702805447,4.5344822744468285,3.0158970335582075e-05,60,57,0.0147286358128871
GSE25906,OPN3,-1.1133287401324268,0.24649180598132098,-4.516696754685607,3.208153755926579e-05,60,57,0.015162148605832359
GSE25906,CEBPZ,1.1526905933561757,0.2569192613115488,4.486586904663349,3.5611993271371296e-05,60,57,0.0163047285443394
GSE25906,NDUFA12,-1.1519337212951546,0.25773074145783836,-4.469523948828576,3.777782435591838e-05,60,57,0.016670330899838864
GSE25906,WASF2,-1.1029743118341286,0.24715682089238325,-4.462649696867498,3.8686181871170666e-05,60,57,0.016670330899838864
GSE25906,NUCB2,1.0492292268128043,0.23558359835428105,4.453744802874294,3.989454166425847e-05,60,57,0.016699855140658595
GSE25906,WDR75,1.1170612688708796,0.25212223055317934,4.43063377005647,4.320463534796505e-05,60,57,0.017300560272861427
GSE25906,ZRANB2,1.198958619713568,0.27080530360512867,4.427382343522394,4.3691265449175674e-05,60,57,0.017300560272861427
