cohort,feature,estimate,std_error,t_stat,p_value,n,df_resid,fdr
GSE4707,ZNF83,-2.1182769942602135,0.07240083769538275,-29.25763101212437,1.5843211283083356e-12,14,12,2.3211888850845426e-08
GSE4707,LEP,2.0974744323138705,0.11202715659964252,18.72291055114188,3.009285900899215e-10,14,12,2.20445238670372e-06
GSE4707,ENO3,-2.0782742161686785,0.13867716779402497,-14.986419532705677,3.9268953633169055e-09,14,12,1.9177647989318663e-05
GSE4707,CORO6,-2.059724518392374,0.1600871919541837,-12.866266771559456,2.2160639731696815e-08,14,12,8.11688831772725e-05
GSE4707,INHBA,2.039692287257532,0.18019789429544275,11.319179367952893,9.24492942779079e-08,14,12,0.0002137425916410955
GSE4707,APLN,-2.0386265879548953,0.18120008160488016,-11.250693542182104,9.885535389491404e-08,14,12,0.0002137425916410955
GSE4707,GSDMB,-2.03810491641779,0.18168845809829628,-11.217580564832264,1.0212259514624725e-07,14,12,0.0002137425916410955
GSE4707,TSNARE1,2.0135134485702597,0.20325755263267622,9.906217124482694,3.964765055197074e-07,14,12,0.000726097160296154
GSE4707,LRRC1,2.0097321219353805,0.20635261044732717,9.739310385164124,4.760654993472814e-07,14,12,0.00077498173677078
GSE4707,GABRE,-1.9926380963224148,0.21973344023395475,-9.068433526552953,1.019136123576683e-06,14,12,0.0014931363346521985
GSE4707,MAFK,-1.9728470364861836,0.23414286426376618,-8.425826013060709,2.202418965286431e-06,14,12,0.0029334218418555907
GSE4707,ZNF133,-1.9683915346643857,0.23724719286389684,-8.296795889988067,2.584445613395694e-06,14,12,0.0031553927234883594
GSE4707,AHSA2,-1.9582998253752464,0.24410752308755312,-8.022283789561333,3.6542941101104433e-06,14,12,0.0041183894620944695
GSE4707,VAPA,1.9538566223297151,0.2470567241509392,7.90853448350593,4.228803802607706e-06,14,12,0.004425443179428964
GSE4707,TM7SF2,-1.95143353275033,0.24864753622641012,-7.848191710910098,4.572138523082129e-06,14,12,0.004465760100111751
GSE4707,GOLPH3,1.9445709780089577,0.2530882111513178,7.68337240665203,5.670939671898569e-06,14,12,0.004894084943521749
GSE4707,CEP95,-1.9434647762321375,0.25379530195693983,-7.657607375891755,5.866810129147869e-06,14,12,0.004894084943521749
GSE4707,PLIN2,1.9426598543796372,0.25430832503441053,7.638994335387075,6.012799739498429e-06,14,12,0.004894084943521749
GSE4707,CCNT1,1.9398404267864848,0.25609554184015487,7.574674720410633,6.547904314339669e-06,14,12,0.005049123479441605
GSE4707,PVRL4,1.9371412213723997,0.2577925342305074,7.514341822018353,7.096242326274088e-06,14,12,0.005198352316112083
GSE4707,PPP4R2,1.9347742822454082,0.25926956319015576,7.462404219142333,7.607592586312743e-06,14,12,0.005307563761050857
GSE4707,ZNF554,-1.928479498088198,0.26314869457106926,-7.328478300953032,9.116482424613673e-06,14,12,0.005820881057923605
GSE4707,UBE2K,1.9283962769001097,0.26319951229023275,7.326747151315568,9.137960844464059e-06,14,12,0.005820881057923605
GSE4707,CCDC47,1.925703623515652,0.2648373013724163,7.271270374439107,9.855654422680754e-06,14,12,0.006016466372778989
GSE4707,DCTN6,1.9204512948459542,0.26799670771057693,7.165951071756993,1.1388857626636156e-05,14,12,0.006674326123513853
GSE4707,EZR,1.9155041779681228,0.2709310712134894,7.070079372545409,1.3006717476816711e-05,14,12,0.007329285298186217
GSE4707,CCDC84,-1.9111023971441885,0.2735092362288304,-6.987341354517448,1.4600225987139538e-05,14,12,0.007832984425268072
GSE4707,WDR59,-1.9094229777510772,0.27448495587739874,-6.956384810408111,1.5248833472373211e-05,14,12,0.007832984425268072
GSE4707,PARP6,-1.90877702216955,0.27485909718095375,-6.944565567400175,1.550450811089851e-05,14,12,0.007832984425268072
GSE4707,PEX13,1.9024085069117485,0.27851419365833274,6.830562140921004,1.821857310704151e-05,14,12,0.00885352547196262
GSE4707,XPO6,-1.9012899199010629,0.2791499955941568,-6.81099749206251,1.87331437875122e-05,14,12,0.00885352547196262
GSE4707,RIOK3,1.898786382417482,0.28056643211337273,6.767689092792863,1.9928025453543827e-05,14,12,0.009123921903745957
GSE4707,TPI1,1.8949969362231143,0.2826933868618396,6.703364932796443,2.1854748548214466e-05,14,12,0.009702846090299701
GSE4707,ANKS3,-1.8904158821650658,0.28523788207653383,-6.6275063760915085,2.438479057643418e-05,14,12,0.010507693139274623
GSE4707,HIGD1A,1.8876939160453141,0.2867361852710474,6.583382262203515,2.5998184176126e-05,14,12,0.010593151205265987
GSE4707,CTDSP1,-1.8863354180886185,0.28748024431608626,-6.56161755593397,2.683545515692655e-05,14,12,0.010593151205265987
GSE4707,KCNMB4,-1.882954038453888,0.28932163317407883,-6.5081688423933155,2.901558687593317e-05,14,12,0.010593151205265987
GSE4707,ATP6AP2,1.8824614413916143,0.28958863376546856,6.500467290149856,2.934492573603671e-05,14,12,0.010593151205265987
GSE4707,IGFLR1,-1.8818506598991709,0.28991925511497435,-6.49094748519852,2.975751600415568e-05,14,12,0.010593151205265987
GSE4707,PAN3,-1.8813901906201056,0.29016819126132787,-6.483791977480089,3.007169253133345e-05,14,12,0.010593151205265987
GSE4707,OFD1,-1.8800586865691316,0.2908864805864931,-6.463204074587815,3.099545885932686e-05,14,12,0.010593151205265987
GSE4707,CEBPG,1.879819727603924,0.2910151473307291,6.459525371260387,3.1163670606411696e-05,14,12,0.010593151205265987
GSE4707,ANXA4,1.8794604236898793,0.291208475692739,6.454003164636399,3.1418000820976875e-05,14,12,0.010593151205265987
GSE4707,AVIL,-1.8789064658231363,0.29150621672730725,-6.445510791904587,3.181343614986714e-05,14,12,0.010593151205265987
GSE4707,TRPV6,-1.8758046482049453,0.2931661817940927,-6.398434624094636,3.410349483261801e-05,14,12,0.010687235981951947
GSE4707,GH1,-1.8751971374861203,0.2934898771059323,-6.389307719834188,3.4567399736296245e-05,14,12,0.010687235981951947
GSE4707,CUL9,-1.8739054597261526,0.29417658075954417,-6.370002176542587,3.5570886227717954e-05,14,12,0.010687235981951947
GSE4707,CRIPAK,-1.873833695776641,0.29421467227350273,-6.368933545349228,3.5627328606334244e-05,14,12,0.010687235981951947
GSE4707,TAF15,-1.8736865796653346,0.29429273991243554,-6.36674414809837,3.574326415368544e-05,14,12,0.010687235981951947
GSE4707,COL1A2,-1.8697909374061,0.2963502784423104,-6.309394906710326,3.892723101775115e-05,14,12,0.011406457232821441
GSE4707,COMMD10,1.868052383539811,0.2972625512280393,6.284183378708778,4.0420980056847685e-05,14,12,0.011611917231625008
GSE4707,ZNF687,-1.8636484858741045,0.2995572178370326,-6.22134395335445,4.441518496678638e-05,14,12,0.012513978364392064
GSE4707,PDXP,-1.8613763998885404,0.3007321479791692,-6.189482609014159,4.659841929986086e-05,14,12,0.012724413093271821
GSE4707,GIPC3,-1.8594748672672021,0.301710846396792,-6.163102485290609,4.8492168406298715e-05,14,12,0.012724413093271821
GSE4707,HEXB,1.8593671757977095,0.30176614919034733,6.161616141460792,4.860126857709611e-05,14,12,0.012724413093271821
