cohort,feature,estimate,std_error,t_stat,p_value,n,df_resid,fdr
GSE24129,APMAP,-1.723202877917593,0.23612524544894237,-7.2978341415433405,3.922670637662128e-06,16,14,0.03335625194870163
GSE24129,ASTE1,1.716575831136113,0.23954829753984952,7.165886164774583,4.814120625619164e-06,16,14,0.03335625194870163
GSE24129,SLC16A1,1.7047513161014551,0.24550573898592593,6.943834890145616,6.830165575462759e-06,16,14,0.03335625194870163
GSE24129,LEP,1.6745721394943722,0.25991868915781624,6.442676919156103,1.5412534165473712e-05,16,14,0.05414862975473427
GSE24129,TMEM136,-1.6617375910132812,0.2657372733968347,-6.253310157705092,2.1149949029783738e-05,16,14,0.05414862975473427
GSE24129,AQP1,1.6548102345057853,0.2688072979152419,6.156120936223862,2.492765552639997e-05,16,14,0.05414862975473427
GSE24129,OR51B4,-1.6532183702680436,0.2695060322951015,-6.134253679553325,2.5871299452811404e-05,16,14,0.05414862975473427
GSE24129,OR51B5,-1.6328874283039194,0.27821865071597074,-5.869079675650177,4.0812578844296796e-05,16,14,0.07474313658097405
GSE24129,SOD1,-1.6163899136018096,0.2850167472781625,-5.671210302685447,5.7713393244224945e-05,16,14,0.09116372008002598
GSE24129,ZC2HC1A,-1.61268157279008,0.28651329373088863,-5.628644841536786,6.222354793531225e-05,16,14,0.09116372008002598
GSE24129,SLC1A1,-1.6040628733116291,0.2899485543608484,-5.532232698478406,7.385349091405681e-05,16,14,0.09836613594380421
GSE24129,MYO1A,-1.5809161495196478,0.2988912999006222,-5.28926787111329,0.00011437702775475317,16,14,0.12337338330318467
GSE24129,ZBTB9,1.5793215213296867,0.29949284898032036,5.273319635867044,0.00011774131522800803,16,14,0.12337338330318467
GSE24129,NTRK2,1.5792512561248362,0.29951931371402996,5.272619106067555,0.00011789143172784011,16,14,0.12337338330318467
GSE24129,GPT2,1.5714693536670898,0.3024287484545669,5.196163928520068,0.00013553306976561399,16,14,0.1282969750267984
GSE24129,BNC2,-1.5680993694278023,0.30367562200481185,-5.163731481228201,0.0001438260165681489,16,14,0.1282969750267984
GSE24129,WNT10B,1.5654428225797508,0.30465305433670237,5.138444536484523,0.0001506567741047989,16,14,0.1282969750267984
GSE24129,TNFRSF21,-1.5628344767175273,0.30560810553749745,-5.113851525530859,0.00015762374926505844,16,14,0.1282969750267984
GSE24129,SEMA6D,-1.5545624105769047,0.3086069751574142,-5.037353448618437,0.0001815135060664235,16,14,0.13312717749189368
GSE24129,CSNK1E,1.5544913046989421,0.3086325581861501,5.036705504548094,0.00018173118216079952,16,14,0.13312717749189368
GSE24129,ERO1L,1.5505526534308613,0.31004452087430884,5.001064521502868,0.00019413170761500736,16,14,0.13357955729399135
GSE24129,LEPREL1,-1.542915490776101,0.3127541010720204,-4.933318173886396,0.00022018103484410748,16,14,0.13357955729399135
GSE24129,TRIM58,1.542274389528917,0.3129798838130938,4.9277109146412,0.00022249344857756196,16,14,0.13357955729399135
GSE24129,NEUROD6,1.537063372756367,0.3148056302966759,4.8825790418926855,0.00024204685383768707,16,14,0.13357955729399135
GSE24129,DOCK8,-1.530315252095443,0.3171452156351886,-4.825282478345065,0.00026946333599138516,16,14,0.13357955729399135
GSE24129,ADRB3,-1.529065379375335,0.31757553270226274,-4.814808516148764,0.0002748129716341627,16,14,0.13357955729399135
GSE24129,NEK11,1.5287590418247539,0.31768085872899254,4.812247889095858,0.0002761374641094355,16,14,0.13357955729399135
GSE24129,MAPK8,-1.5279964643528703,0.31794280762933363,-4.8058846675791145,0.00027945753362852694,16,14,0.13357955729399135
GSE24129,QPCT,1.5271447247257182,0.31823497492782765,4.798795999943308,0.00028320477643891057,16,14,0.13357955729399135
GSE24129,TMEM139,-1.5234471454644491,0.3194983562417165,-4.76824720910891,0.00029995789918058557,16,14,0.13357955729399135
GSE24129,FLT1,1.5206725132981036,0.3204411141914521,4.745559935825077,0.00031306055785455214,16,14,0.13357955729399135
GSE24129,MSANTD3,-1.5153969208661027,0.32222132724368385,-4.7029690238972455,0.00033927989282321483,16,14,0.13357955729399135
GSE24129,SELE,-1.5151327128312337,0.32231006173167526,-4.70085452713105,0.00034063925608261914,16,14,0.13357955729399135
GSE24129,GNG13,1.5131880601460017,0.32296194984101917,4.685344700485248,0.00035078371851634285,16,14,0.13357955729399135
GSE24129,POLR3G,-1.5125581323143813,0.32317265358690583,-4.680340726625349,0.00035412281153944535,16,14,0.13357955729399135
GSE24129,PNRC2,-1.5116859407241077,0.3234640205888518,-4.673428401626094,0.0003587893924465169,16,14,0.13357955729399135
GSE24129,TMCC2,1.5113365501235232,0.3235806183782522,4.670664632814423,0.0003606729675460251,16,14,0.13357955729399135
GSE24129,ADAMTSL1,-1.5108989371943966,0.32372656027500885,-4.667207213121078,0.00036304366567694663,16,14,0.13357955729399135
GSE24129,SLCO4A1,1.5106814629209577,0.3237990467632439,4.665490766640648,0.0003642265759892123,16,14,0.13357955729399135
GSE24129,PRRG1,1.5105950571359874,0.3238278393304869,4.664809116656363,0.00036469744671078114,16,14,0.13357955729399135
GSE24129,FBN2,-1.5059977801179176,0.32535372907036614,-4.628801349291456,0.00039048581409346813,16,14,0.1380344788017519
GSE24129,GRAP,1.5050983154805142,0.3256508933480892,4.6218154048535345,0.00039570323593431025,16,14,0.1380344788017519
GSE24129,SULF1,-1.5034249762689977,0.326202537952219,-4.608869648001372,0.0004055626876702454,16,14,0.13818369621062246
GSE24129,HIST1H1T,-1.4967213428085033,0.3283971052140459,-4.557656931333044,0.00044711734881469216,16,14,0.1488799153973649
GSE24129,CTSL1,-1.4918000716729731,0.32999269971973977,-4.520706285138875,0.000479806836156626,16,14,0.15096738777103696
GSE24129,PREP,1.488906704141248,0.33092476770874857,4.499230185912392,0.0004999281159607973,16,14,0.15096738777103696
GSE24129,GSTA3,-1.4888415749449413,0.33094569739238705,-4.498748848152241,0.0005003889156260509,16,14,0.15096738777103696
GSE24129,RASL11B,-1.485706836110706,0.33195042628315086,-4.4756888935078845,0.0005229851584452706,16,14,0.15096738777103696
GSE24129,RAB15,-1.4846814564047688,0.33227795733260684,-4.46819123460127,0.0005305562294302595,16,14,0.15096738777103696
GSE24129,PXK,-1.4830387061683161,0.3328015491900979,-4.456225368473862,0.0005428737270110833,16,14,0.15096738777103696
GSE24129,ZNF441,-1.482470379103683,0.3329823649427554,-4.45209877513646,0.0005471895064297236,16,14,0.15096738777103696
