cohort,gene_set,n_requested,n_present,present_genes,missing_genes
GSE43942,HALLMARK_HYPOXIA,200,173,ADM;ADORA2B;AK4;AKAP12;ALDOA;ALDOB;ALDOC;AMPD3;ANGPTL4;ANKZF1;ANXA2;ATF3;B3GALT6;B4GALNT2;BCAN;BCL2;BGN;BHLHE40;BNIP3L;BTG1;CA12;CASP6;CAV1;CCNG2;CDKN1A;CDKN1B;CDKN1C;CHST2;CITED2;COL5A1;CP;CSRP2;CXCR4;DCN;DDIT3;DDIT4;DPYSL4;DTNA;DUSP1;EDN2;EFNA1;EFNA3;EGFR;ENO1;ENO2;ENO3;ERRFI1;ETS1;EXT1;F3;FAM162A;FBP1;FOS;FOSL2;FOXO3;GAA;GALK1;GAPDH;GAPDHS;GBE1;GCK;GCNT2;GLRX;GPC1;GPC3;GPC4;GPI;GRHPR;GYS1;HAS1;HDLBP;HEXA;HK1;HK2;HMOX1;HOXB9;HS3ST1;HSPA5;IDS;IER3;IGFBP1;IL6;ILVBL;INHA;IRS2;ISG20;JMJD6;JUN;KDELR3;KDM3A;KLF6;KLF7;KLHL24;LDHA;LOX;LXN;MAFF;MIF;MXI1;MYH9;NAGK;NCAN;NDRG1;NDST1;NDST2;NEDD4L;NFIL3;NR3C1;P4HA1;P4HA2;PAM;PCK1;PDGFB;PDK1;PDK3;PFKFB3;PFKL;PFKP;PGAM2;PGF;PGK1;PGM1;PGM2;PIM1;PKLR;PKP1;PLAC8;PLAUR;PLIN2;PNRC1;PPARGC1A;PPP1R15A;PPP1R3C;PRDX5;PRKCA;PYGM;RORA;RRAGD;S100A4;SAP30;SCARB1;SDC2;SDC4;SELENBP1;SERPINE1;SIAH2;SLC25A1;SLC2A1;SLC2A3;SLC2A5;SLC37A4;SRPX;STC1;STC2;SULT2B1;TES;TGFB3;TGFBI;TGM2;TIPARP;TMEM45A;TNFAIP3;TPBG;TPD52;TPI1;TPST2;UGP2;VEGFA;VHL;VLDLR;WSB1;XPNPEP1;ZFP36,ACKR3;ATP7A;BRS3;CAVIN1;CAVIN3;CCN1;CCN2;CCN5;CHST3;ERO1A;IGFBP3;KIF5A;LALBA;LARGE1;LDHC;MAP3K1;MT1E;MT2A;NOCT;PHKG1;PPFIA4;RBPJ;SDC3;SLC6A6;STBD1;TKTL1;ZNF292
GSE43942,HALLMARK_TNF_ALPHA_SIGNALING_VIA_NF_KB,200,195,ABCA1;AREG;ATF3;ATP2B1;B4GALT1;B4GALT5;BCL2A1;BCL3;BCL6;BHLHE40;BIRC2;BIRC3;BMP2;BTG1;BTG2;BTG3;CCL2;CCL20;CCL4;CCL5;CCND1;CCNL1;CCRL2;CD44;CD69;CD80;CD83;CDKN1A;CEBPB;CEBPD;CFLAR;CLCF1;CSF1;CXCL1;CXCL10;CXCL11;CXCL2;CXCL3;CXCL6;DDX58;DENND5A;DNAJB4;DRAM1;DUSP1;DUSP2;DUSP4;DUSP5;EDN1;EFNA1;EGR1;EGR2;EGR3;EHD1;EIF1;ETS2;F2RL1;F3;FJX1;FOS;FOSB;FOSL1;FOSL2;FUT4;G0S2;GADD45A;GADD45B;GCH1;GEM;GFPT2;GPR183;HBEGF;HES1;ICAM1;ICOSLG;ID2;IER2;IER3;IER5;IFIH1;IFIT2;IFNGR2;IL12B;IL15RA;IL18;IL1A;IL1B;IL23A;IL6;IL6ST;IL7R;INHBA;IRF1;IRS2;JAG1;JUN;JUNB;KLF10;KLF2;KLF4;KLF6;KLF9;KYNU;LAMB3;LDLR;LIF;LITAF;MAFF;MAP2K3;MAP3K8;MARCKS;MCL1;MSC;MXD1;MYC;NAMPT;NFAT5;NFE2L2;NFIL3;NFKB1;NFKB2;NFKBIA;NFKBIE;NINJ1;NR4A1;NR4A2;NR4A3;OLR1;PANX1;PDE4B;PDLIM5;PER1;PFKFB3;PHLDA1;PHLDA2;PLAU;PLAUR;PLEK;PLK2;PMEPA1;PNRC1;PPP1R15A;PTGER4;PTGS2;PTPRE;PTX3;RCAN1;REL;RELA;RELB;RHOB;RIPK2;RNF19B;SAT1;SDC4;SERPINB2;SERPINB8;SERPINE1;SGK1;SIK1;SLC16A6;SLC2A3;SLC2A6;SMAD3;SNN;SOCS3;SOD2;SPHK1;SPSB1;SQSTM1;STAT5A;TANK;TAP1;TGIF1;TIPARP;TLR2;TNC;TNF;TNFAIP2;TNFAIP3;TNFAIP6;TNFAIP8;TNFRSF9;TNFSF9;TNIP1;TNIP2;TRAF1;TRIB1;TRIP10;TSC22D1;TUBB2A;VEGFA;YRDC;ZBTB10;ZC3H12A;ZFP36,ACKR3;CCN1;CSF2;KDM6B;PLPP3
GSE43942,HALLMARK_ANGIOGENESIS,36,34,APP;CCND2;COL3A1;COL5A2;CXCL6;FGFR1;FSTL1;ITGAV;JAG1;JAG2;KCNJ8;LPL;LRPAP1;LUM;MSX1;NRP1;OLR1;PF4;PGLYRP1;POSTN;PRG2;PTK2;S100A4;SERPINA5;SLCO2A1;SPP1;STC1;THBD;TIMP1;TNFRSF21;VAV2;VCAN;VEGFA;VTN,APOH;PDGFA
GSE43942,HALLMARK_INFLAMMATORY_RESPONSE,200,192,ABCA1;ABI1;ACVR1B;ACVR2A;ADM;ADORA2B;ADRM1;AHR;APLNR;AQP9;ATP2A2;ATP2B1;ATP2C1;AXL;BDKRB1;BEST1;BST2;BTG2;C3AR1;C5AR1;CALCRL;CCL17;CCL2;CCL20;CCL22;CCL24;CCL5;CCL7;CCR7;CCRL2;CD14;CD40;CD48;CD55;CD69;CD70;CDKN1A;CHST2;CLEC5A;CMKLR1;CSF1;CSF3;CSF3R;CX3CL1;CXCL10;CXCL11;CXCL6;CXCL9;CXCR6;CYBB;DCBLD2;EBI3;EDN1;EIF2AK2;EMP3;EREG;F3;FFAR2;FPR1;FZD5;GABBR1;GCH1;GNA15;GNAI3;GP1BA;GPC3;GPR132;GPR183;HAS2;HBEGF;HIF1A;HPN;HRH1;ICAM1;ICAM4;ICOSLG;IFITM1;IFNAR1;IFNGR2;IL10;IL10RA;IL12B;IL15RA;IL18;IL18R1;IL18RAP;IL1A;IL1B;IL1R1;IL2RB;IL4R;IL6;IL7R;INHBA;IRAK2;IRF1;IRF7;ITGA5;ITGB3;ITGB8;KCNA3;KCNJ2;KIF1B;KLF6;LAMP3;LCK;LCP2;LDLR;LIF;LPAR1;LTA;LY6E;LYN;MARCO;MEFV;MEP1A;MET;MMP14;MSR1;MXD1;MYC;NAMPT;NDP;NFKB1;NFKBIA;NLRP3;NMI;NMUR1;NOD2;NPFFR2;OLR1;OPRK1;OSM;OSMR;P2RX4;P2RX7;P2RY2;PCDH7;PDE4B;PDPN;PIK3R5;PLAUR;PROK2;PSEN1;PTAFR;PTGER2;PTGER4;PTGIR;PTPRE;PVR;RAF1;RASGRP1;RELA;RGS16;RHOG;RIPK2;RNF144B;ROS1;RTP4;SCARF1;SCN1B;SELE;SELL;SEMA4D;SERPINE1;SGMS2;SLAMF1;SLC11A2;SLC1A2;SLC28A2;SLC31A1;SLC31A2;SLC4A4;SLC7A1;SLC7A2;SPHK1;SRI;STAB1;TACR1;TACR3;TAPBP;TIMP1;TLR1;TLR2;TLR3;TNFAIP6;TNFRSF1B;TNFRSF9;TNFSF10;TNFSF15;TNFSF9;TPBG,ADGRE1;CD82;CXCL8;IL15;KCNMB2;RGS1;SELENOS;VIP
GSE43942,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,182,ACTA2;ADAM12;ANPEP;APLP1;AREG;BASP1;BDNF;BGN;BMP1;CADM1;CALD1;CALU;CAP2;CAPG;CD44;CD59;CDH11;CDH2;CDH6;COL11A1;COL12A1;COL16A1;COL1A1;COL1A2;COL3A1;COL4A1;COL4A2;COL5A1;COL5A2;COL5A3;COL6A2;COL6A3;COL7A1;COL8A2;COLGALT1;COMP;COPA;CRLF1;CTHRC1;CXCL1;CXCL12;CXCL6;DAB2;DCN;DKK1;DPYSL3;DST;ECM1;ECM2;EDIL3;EFEMP2;ELN;EMP3;ENO2;FAP;FAS;FBLN1;FBLN5;FBN1;FBN2;FERMT2;FGF2;FLNA;FMOD;FN1;FOXC2;FSTL1;FSTL3;FUCA1;FZD8;GADD45A;GADD45B;GAS1;GEM;GJA1;GLIPR1;GPC1;GPX7;GREM1;HTRA1;ID2;IGFBP2;IGFBP4;IL32;IL6;INHBA;ITGA2;ITGA5;ITGAV;ITGB3;ITGB5;JUN;LAMA1;LAMA2;LAMA3;LAMC1;LAMC2;LGALS1;LOX;LOXL1;LOXL2;LRP1;LRRC15;LUM;MAGEE1;MATN2;MATN3;MCM7;MEST;MFAP5;MGP;MMP1;MMP14;MMP2;MMP3;MSX1;MXRA5;MYLK;NID2;NNMT;NOTCH2;NT5E;OXTR;PCOLCE;PCOLCE2;PDGFRB;PDLIM4;PFN2;PLAUR;PLOD1;PLOD2;PLOD3;PMEPA1;PMP22;POSTN;PPIB;PRRX1;PRSS2;PTHLH;PTX3;PVR;QSOX1;RGS4;RHOB;SAT1;SCG2;SDC1;SDC4;SERPINE1;SFRP1;SGCB;SGCG;SLC6A8;SLIT2;SLIT3;SNAI2;SNTB1;SPARC;SPOCK1;SPP1;TAGLN;TFPI2;TGFBI;TGFBR3;TGM2;THBS1;THBS2;TIMP1;TIMP3;TNC;TNFAIP3;TNFRSF12A;TPM1;TPM2;TPM4;VCAM1;VCAN;VEGFA;VEGFC;VIM;WIPF1;WNT5A,ABI3BP;CCN1;CCN2;CXCL8;FBLN2;IGFBP3;IL15;ITGB1;MYL9;NTM;P3H1;SERPINE2;SERPINH1;SFRP4;SGCD;TGFB1;THY1;TNFRSF11B
GSE43942,CURATED_PROANGIOGENIC_SUPPORT,6,6,ANGPT1;KDR;NOS3;PGF;TEK;VEGFA,
GSE43942,CURATED_ANTIANGIOGENIC_VASCULAR_STRESS,5,5,EDN1;ENG;F3;FLT1;SERPINE1,
GSE43942,CURATED_ENDOTHELIAL_NO_SIGNALING,6,4,KLF2;KLF4;NOS3;PRKG1,GUCY1A1;GUCY1B1
GSE43942,CURATED_HIF1_TWIST1_MIR214_HOST_AXIS,3,2,HIF1A;TWIST1,DNM3OS
GSE43942,CURATED_EXTRAVILLOUS_TROPHOBLAST_INVASION,6,5,ASCL2;HLA-G;MMP2;MMP9;NOTCH2,ITGA1
