matrix_column,HALLMARK_HYPOXIA,HALLMARK_TNF_ALPHA_SIGNALING_VIA_NF_KB,HALLMARK_ANGIOGENESIS,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,CURATED_PROANGIOGENIC_SUPPORT,CURATED_ANTIANGIOGENIC_VASCULAR_STRESS,CURATED_ENDOTHELIAL_NO_SIGNALING,CURATED_HIF1_TWIST1_MIR214_HOST_AXIS,CURATED_EXTRAVILLOUS_TROPHOBLAST_INVASION
2.BAM,-0.7154897439232585,-0.6488913450429837,-0.5098565713166007,-0.524286782411561,-0.6728831120233071,-0.3153025644573788,-0.912043822694723,0.3134555186796435,0.8633658456765168,-0.5702340052295339
3.BAM,-0.7132562560782744,-0.5369122587806744,-0.36188077528007395,-0.0912441265312449,-0.600636486002844,1.3587002619226871,-1.1540495736667797,-0.4913646937812163,-1.3277233069186325,-0.24298335237962526
4.BAM,0.22605585609096537,0.28932762738139994,0.13763471185172826,0.4558654351338714,0.3053123069951073,0.337470180364917,0.19734781414905903,0.28529459504047017,0.64896574450382,0.6600649421854848
5.BAM,-0.7058430343456988,-0.45161744565780915,-0.7478451989890278,-0.27083536306356937,-0.5597345944977902,0.3537738894366695,-0.8771482164647012,-0.4293277841915268,0.6948641460811862,0.083898427527625
6.BAM,2.2990278805230226,2.32108942094477,2.736757281413061,2.3382956448291523,2.346535044590922,1.4219866688097058,1.5635882008805815,2.2367275939558526,0.3290351221025029,2.4141928139627775
7.BAM,-0.6317308449027562,-0.5961489140632816,-0.3709168284524613,-0.5021159912222696,-0.47924256408944843,-0.22813830478562025,-0.7403913730447987,-0.4028838060203124,0.799506166151795,-0.12929213435680376
8.BAM,-0.4792368195784486,-0.4659014300516955,-0.9393633631262681,-0.33733236573638,-0.41903337026977955,0.25191780260844454,-0.4476437210998009,0.11736558480322125,-0.23437411644376915,-0.6075407648771226
9.BAM,-1.0061110696564306,-0.7925959677734465,-0.7757337623973062,-0.3894715436430914,-0.7458359296585888,-0.9509869250354208,-0.28819794125428183,-0.021977055463563096,0.1618153492764911,0.15504262519187068
10.BAM,-0.7972841548444802,-0.5924275511822588,-0.8566458913403828,-0.09464958531206968,-0.5624157682191369,-0.00010313736722597043,-0.8389362210024705,0.15700299472398227,0.17990811718358637,-0.0582344156476086
12.BAM,-1.126031298762124,-1.1436609334297385,-1.6239545408496878,-0.8238038081427357,-1.1546640604696101,-0.689361870179377,-1.3644221625456603,-0.49541505249211015,1.2916798808866126,-1.2032685084161467
13.BAM,-0.9274400982490664,-0.9436711952649843,-0.6448624857319819,-1.1026088549326098,-0.916992426461559,-1.1612795500123911,-0.768273876144986,-2.3852963411518564,0.7689514145083777,-1.4799033594178455
14.BAM,-0.7640915299277262,-0.6370594061188484,-0.718990890302169,-0.15428106948183656,-0.5507460666367288,-0.08457488058811417,-0.2957078293292164,0.25717247759550854,-0.25870064639968027,-0.4336752681394344
25.BAM,-0.8859105148877805,-1.0032844933786698,-0.710908015250309,-1.459435676443873,-1.107337517945534,-1.3954196093821631,-0.9216177723992331,-0.8730212494934617,0.7667112270471411,-0.9846977673593221
26.BAM,-0.48535442252631394,-0.6187543866395389,-0.12876332901449644,-1.0974041591934078,-0.5654824396081184,-0.8440602571508087,-0.1802853586712037,-0.4928342986447518,-1.3840321408300271,-1.243443104668892
27.BAM,0.7931347936581765,0.9032818174300887,0.6911994002204441,0.2615687830900227,0.5034516736408093,-0.17915882689468854,0.8449399449879511,-0.724934266667789,0.9905085472700312,-0.3175129305591033
30.BAM,0.24983031342611864,0.159070687197533,0.1697083782612465,-0.0889564058362316,0.2475356564224493,0.8122124543858845,0.059765929101823545,0.04386540713311279,-1.680940517619395,0.5175442835227384
32.BAM,0.7573640675111803,0.8135176850904398,0.5195088927004397,0.696296901627313,0.6270352035797434,0.29216764919567123,0.5164134907663348,0.6137641971548438,0.6110846990337783,0.3195166727207534
34.BAM,0.7785550885468393,0.8539402911020715,1.0322996839088563,0.5228054831669349,0.5917467586431169,0.08666169129030354,1.4240121094868934,0.5475437870756029,1.6234859001834328,0.8807286467857103
35.BAM,0.24816749812932803,0.3883767404535266,-0.049358613873128426,0.6652315781039976,0.5248377751389458,1.4242149832137554,-0.12799764149658427,-0.7497673762966587,-1.527451107868305,0.7096802089623151
37.BAM,0.18064218811093777,-0.043237189322568856,0.3403353604055357,-0.3634715406031526,0.12939035939812313,-1.6994268791067695,0.04812435631910968,0.6014600394759491,-1.2631891097526402,-0.8966460422384337
48.BAM,0.6285722710072735,0.5476869707728197,0.5858569507068369,0.3895138262770236,0.677406698356043,-0.3958598723064409,0.5074161022433803,0.5466442067015999,-1.0068962892155813,0.4706418406757573
50.BAM,-0.11912422543259109,-0.2973205387644851,-0.46804868556127827,-0.24533697314213704,-0.20812009987536526,-1.4989079074436358,0.30315529426343896,-1.1428111474122276,0.20802247657665526,-0.9270290006678217
52.BAM,-1.8576093359087593,-2.0718381384300497,-1.4403536672183366,-2.282504339402131,-2.068587261734687,-1.3179668832004838,-1.8321303938317115,-1.9791036034661316,-1.3933139505968,-1.15569412866634
63.BAM,0.8730347298648866,0.508015094215774,0.9961759014335843,1.0389347391433086,0.6630926000222302,1.225884137158615,0.5992429790841368,0.08909814099768523,-1.4362906187440907,0.645464580150148
69.BAM,0.15463411538915647,0.08710087946004512,0.06595566621056981,0.1481210784509257,0.16214377652483206,0.3391596002045157,-0.18103529311336378,0.3553082248624231,-0.5571860383712155,0.5954635331732121
76.BAM,0.6468266556456007,0.5632085035103421,0.02766154862588308,0.14772535967185144,0.32720520379483764,0.19707037837462074,1.9565169677106342,0.6924746149444639,0.9453197033513505,-0.08491461622309547
81.BAM,0.8533158965472986,0.8066294327173302,0.5566514972350919,0.5254006406850366,0.7230058798516451,0.2693027214476121,0.6068059376246486,1.234938442665124,0.2914269239245405,0.08396916226020804
87.BAM,2.525351994572925,2.602076043624893,2.4877373457302294,2.6379791149188634,2.7830127605336927,2.3900250494971154,2.302552070141522,2.0966208492721234,0.8954465790023186,2.798861661728529
