cohort,feature,estimate,std_error,t_stat,p_value,n,df_resid,fdr
GSE10588,SKP1,-1.74844394373594,0.1584156793708656,-11.037063696470808,7.495391994672996e-14,43,41,1.0981498811395406e-09
GSE10588,S100PBP,-1.6973946318197513,0.1714233324008729,-9.9017712935973,1.9589075405801156e-12,43,41,1.0988712985809097e-08
GSE10588,GCLM,-1.6939747388274082,0.17224645098070251,-9.83459879250105,2.3885193753083454e-12,43,41,1.0988712985809097e-08
GSE10588,MRPL19,-1.6899938669639814,0.17319758773617736,-9.757606263767709,3.0001264038793523e-12,43,41,1.0988712985809097e-08
GSE10588,CNOT2,-1.677299440479123,0.17618168543885873,-9.520282634946215,6.086677733517618e-12,43,41,1.7835183094753323e-08
GSE10588,FLNB,1.6454645618125372,0.18335752270930403,8.974077188102422,3.1843031337105124e-11,43,41,7.775537535332119e-08
GSE10588,TRAF3,-1.6195676341885505,0.18889754152537985,-8.573788843995882,1.095140101595441e-10,43,41,2.292128232639258e-07
GSE10588,LEP,1.6013410795810339,0.19265029593800162,8.312165168416739,2.4792714555808097e-10,43,41,4.540475761964305e-07
GSE10588,ZNF627,-1.598333230058925,0.1932585615664545,-8.270439441873405,2.8262798932425437e-10,43,41,4.600869635099612e-07
GSE10588,PFDN6,1.5918901332815578,0.1945513070606662,8.182366684306905,3.7287064375657694e-10,43,41,5.462927801677608e-07
GSE10588,CAPNS1,1.587493902525198,0.19542548702417356,8.123269521793897,4.4926600200170854e-10,43,41,5.655302335041771e-07
GSE10588,LRRC8A,1.5867685451164706,0.19556911540472752,8.113594735204869,4.632013379325729e-10,43,41,5.655302335041771e-07
GSE10588,IGSF8,1.581470856587694,0.1966129527308028,8.043574111584611,5.779698189745045e-10,43,41,6.513719859842666e-07
GSE10588,FAM181B,1.57966178900719,0.19696734179153386,8.019917284963267,6.229208554977463e-10,43,41,6.518866752783915e-07
GSE10588,PRDX3,-1.5769615874950569,0.19749436560309977,-7.984843429225941,6.961498857728693e-10,43,41,6.799527984305539e-07
GSE10588,TXNRD1,-1.5734224585941332,0.1981816497049213,-7.939294384403651,8.043897566316611e-10,43,41,7.365696452756541e-07
GSE10588,FAM186B,1.5661512911924707,0.1995814512970248,7.8471785880625955,1.078101021632406e-09,43,41,9.291328275256695e-07
GSE10588,PRCC,1.5646762507879726,0.19986343391687383,7.828726946814816,1.1433494022618054e-09,43,41,9.306228940298729e-07
GSE10588,COPS5,-1.5616298332002914,0.20044372209003322,-7.79086427310931,1.2899937775802468e-09,43,41,9.947209913330629e-07
GSE10588,HEATR2,1.5602483492424648,0.20070594552697135,7.773802341260462,1.3621438407418133e-09,43,41,9.978384705354152e-07
GSE10588,BBX,-1.5488872147281674,0.20284087520014274,-7.63597185823559,2.1162610266912235e-09,43,41,1.4764447762882436e-06
GSE10588,ATF6B,1.5440562218571692,0.2037372311978551,7.578664993035522,2.5429486169661255e-09,43,41,1.6934881903259414e-06
GSE10588,ZDHHC21,-1.5388202959253852,0.2047011472751844,-7.517399469465182,3.0956237840695135e-09,43,41,1.9365693078290817e-06
GSE10588,TIMMDC1,-1.5380729590965192,0.20483809330219402,-7.508725229283536,3.1831110272063873e-09,43,41,1.9365693078290817e-06
GSE10588,MRPL39,1.536875415183519,0.2050572084888734,7.4948616852302035,3.3281415877218858e-09,43,41,1.9365693078290817e-06
GSE10588,PSMA3,-1.5360107295996923,0.20521516900818382,-7.484879100425746,3.4366802268484143e-09,43,41,1.9365693078290817e-06
GSE10588,ZFAND3,1.534700360005989,0.20545414631008416,7.469795025162081,3.607493381954152e-09,43,41,1.9575327977411214e-06
GSE10588,CLCN3,-1.530281195531719,0.20625654835314874,-7.419309630410372,4.243949660621135e-09,43,41,2.2206466599200086e-06
GSE10588,VPS52,1.527169949960417,0.2068182184394171,7.384117131865577,4.753466792662671e-09,43,41,2.401484206182786e-06
GSE10588,SLU7,-1.5246371360940598,0.20727349988405716,-7.355678062786116,5.209924055068497e-09,43,41,2.544353244360285e-06
GSE10588,TKT,-1.5182439301485884,0.20841493668943456,-7.284717469223282,6.5509648873085255e-09,43,41,3.0960705343212e-06
GSE10588,CCT5,-1.5154088447013372,0.2089175869769829,-7.253620275004873,7.243486427138793e-09,43,41,3.3163849888753267e-06
GSE10588,TERF2,1.5122946082754962,0.2094672608716297,7.21971826042206,8.082764761889183e-09,43,41,3.5753862306372093e-06
GSE10588,MOB3A,1.5115473057239128,0.20959878009079436,7.211622630003563,8.297258333333227e-09,43,41,3.5753862306372093e-06
GSE10588,PSME4,-1.5082613812316714,0.21017533078905676,-7.176205578310442,9.305069872053434e-09,43,41,3.8951022484415675e-06
GSE10588,ANKRD49,-1.5036857940835817,0.21097346286423305,-7.127369355695901,1.0900013626445941e-08,43,41,4.436002767807208e-06
GSE10588,MFF,-1.5027002064355746,0.21114467010462432,-7.116922277464885,1.1275445266147666e-08,43,41,4.464771583630526e-06
GSE10588,STYX,1.500832157124356,0.21146848273616642,7.097190738332545,1.2020390999586357e-08,43,41,4.519819000328433e-06
GSE10588,SRPRB,-1.5008052209080476,0.2114731453615779,-7.096906883103114,1.203146140282635e-08,43,41,4.519819000328433e-06
GSE10588,SH3GLB1,-1.4995658208835148,0.21168748246439678,-7.083866289239484,1.2551261633459706e-08,43,41,4.5972133547954535e-06
GSE10588,SASH1,1.497657805992378,0.21201667829176543,7.063867890295807,1.3392635641031604e-08,43,41,4.78574401894522e-06
GSE10588,SFXN3,1.4955005383573476,0.2123877603411326,7.041368749099794,1.4407249149069894e-08,43,41,4.928133116639679e-06
GSE10588,FAM20B,-1.495384435353882,0.21240769824251907,-7.040161198143152,1.4463840284998034e-08,43,41,4.928133116639679e-06
