matrix_column,HALLMARK_HYPOXIA,HALLMARK_TNF_ALPHA_SIGNALING_VIA_NF_KB,HALLMARK_ANGIOGENESIS,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,CURATED_PROANGIOGENIC_SUPPORT,CURATED_ANTIANGIOGENIC_VASCULAR_STRESS,CURATED_ENDOTHELIAL_NO_SIGNALING,CURATED_HIF1_TWIST1_MIR214_HOST_AXIS,CURATED_EXTRAVILLOUS_TROPHOBLAST_INVASION
2.BAM,-0.7168679055091813,-0.6608094211314555,-0.447196167300624,-0.592780473095179,-0.6937848533231589,-0.34908163582547486,-0.907599459131148,0.3500229162283085,0.8082056251616062,-0.6027079293412614
3.BAM,-0.704260032637166,-0.5168225720156286,-0.3047719282650238,-0.0785304805806375,-0.6051612128755495,1.6310386413271383,-1.1418808823973188,-0.41688139473385183,-1.5087295524311877,-0.27601666877864617
4.BAM,0.3491130968448397,0.3951703926033881,0.25615763642263933,0.5862862339339899,0.4363871977805745,0.4475565828994326,0.3116859633013437,0.3333459415408285,0.5909895591990488,0.8439308810651102
5.BAM,-0.6880692317942324,-0.4316307930917733,-0.7002694127662802,-0.2733374836712881,-0.5663493099639586,0.44337837932261753,-0.8300115164285342,-0.42030351983819764,0.6519170770969432,0.12093067227308657
6.BAM,2.674369776468793,2.703895660310606,3.1070004515717753,2.9622412643508524,2.843510277725619,1.7035664218035809,1.7375203582882617,2.355762503558479,0.2898133292253037,2.981750359153324
7.BAM,-0.6067722673519687,-0.590817702822146,-0.272769757329661,-0.5599365571947168,-0.4745488523439139,-0.19688569444922094,-0.7186531886187547,-0.37969087488399883,0.7494853825074885,-0.11083073869533129
8.BAM,-0.44357977866522785,-0.4434523806094742,-0.9015423724574355,-0.3516828691359488,-0.40177105035702737,0.32993050821605147,-0.3695376298043528,0.1383338039632226,-0.38135664064376446,-0.6428715849889098
9.BAM,-1.0246243214549773,-0.8054533399342736,-0.7633572220910689,-0.4255380947447593,-0.7581700466176335,-1.1162559833485024,-0.20099484476633542,0.013345131632720338,0.04270870481865304,0.19955165565788308
10.BAM,-0.7856683073514512,-0.5843817974898143,-0.8159675855159928,-0.09069343127023567,-0.5609049273875943,0.07286023776000547,-0.8043545907401698,0.18371129145857232,0.08742712561213262,-0.03699282682473412
12.BAM,-1.1508622101440968,-1.2118345415384126,-1.6555512824297418,-0.9666402902750333,-1.247365364964335,-0.7264688981803067,-1.3585511216488102,-0.49158499576038966,1.3056194988589078,-1.3644907130664585
13.BAM,-0.9241415922283805,-0.9846800774929956,-0.5898841554874565,-1.294710880462646,-0.991123035801697,-1.1948353384795185,-0.7097248438921355,-2.4184547598824118,0.7567563740322726,-1.6689826828447942
14.BAM,-0.7474636845665812,-0.6333357856218708,-0.6666963532531079,-0.14701018326575332,-0.5385111908943783,-0.03444250544663116,-0.21603504108450627,0.2890779304724627,-0.34809754481894417,-0.46137491861440705
27.BAM,0.9627469339584847,1.0731180695564144,0.8865881524574265,0.3920522844857387,0.660335802959842,-0.0836679953314611,0.941608756520821,-0.7735546572787232,1.0079006137084727,-0.3057095455963277
30.BAM,0.3648534563969215,0.2260822318359925,0.3096328468779856,-0.062428631975955634,0.3541470929323399,1.0352940641259554,0.10397354226730836,0.05452816261152688,-1.8306710314835892,0.7622130624335886
32.BAM,0.9364980698593994,0.9552476652072407,0.6855962316722096,0.8771550450767578,0.7935987964716141,0.4807551410840159,0.6306108735513235,0.6824203667009262,0.6075631751139282,0.45879081596866905
34.BAM,0.9679032777211005,1.0047112137228997,1.3014242761075898,0.7179731600993853,0.7801307765312748,0.2530660051592278,1.5977152423117966,0.5812969576071704,1.6803174600325257,1.0607131408133104
35.BAM,0.35952619039111494,0.49093924073433853,0.04014121309913936,0.8449874025412565,0.700400093583265,1.7126447251896242,-0.07644607050068976,-0.7487870212245168,-1.6659640571060699,0.9058206322905924
37.BAM,0.29006560753651267,0.017931431824728533,0.48794933982055455,-0.32695354026513584,0.22033008326333053,-1.8841384286189025,0.16397620838134708,0.6944462380061134,-1.2566138844029497,-1.0060761128006992
48.BAM,0.7881110627787105,0.681897938289174,0.7453535660881009,0.516432005318012,0.8510052228951218,-0.44414071326905563,0.6161735224965847,0.6244080480588635,-1.0071148414984419,0.5605078602809452
50.BAM,-0.04091314537735584,-0.2673896838334556,-0.3441677736348863,-0.23233239643199805,-0.16002730799826492,-1.6531678608471452,0.3835036206398604,-1.1648541103643142,0.24013571630799663,-1.0211695053139882
52.BAM,-1.9486838403733382,-2.2224240325342777,-1.4880498362387242,-2.650679072613433,-2.287269060045788,-1.5356335998397752,-1.9128418993907093,-1.9591773680123927,-1.346657114410259,-1.3232637257137347
69.BAM,0.2590004246263998,0.15094003432291733,0.1782962400176482,0.21284488140274374,0.2602087375177792,0.4387824031865595,-0.1367556135550273,0.41764288913117337,-0.6322562306292009,0.7751802156320787
76.BAM,0.8034664762809672,0.6910824242662074,0.18448942842414343,0.25955372616305183,0.46410619859259794,0.3137981108341624,2.1731317319704155,0.7307818099125671,0.9157957045853573,-0.08706461289432103
81.BAM,1.0262519445907141,0.9620158254416707,0.7675944642107912,0.6837283816109323,0.9208259323199411,0.3560474327276234,0.7234868822294296,1.324164711095862,0.24282555116377005,0.238162269905026
