matrix_column,HALLMARK_HYPOXIA,HALLMARK_TNF_ALPHA_SIGNALING_VIA_NF_KB,HALLMARK_ANGIOGENESIS,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,CURATED_PROANGIOGENIC_SUPPORT,CURATED_ANTIANGIOGENIC_VASCULAR_STRESS,CURATED_ENDOTHELIAL_NO_SIGNALING,CURATED_HIF1_TWIST1_MIR214_HOST_AXIS,CURATED_EXTRAVILLOUS_TROPHOBLAST_INVASION
V2545_PLAC_NORMAL,0.3722001319345083,1.3103590287568687,0.6129061736584226,0.5711071126533966,0.7311300083337856,0.4364250095436759,-0.48707815422190365,0.723216688849328,-0.1277503966643068,-0.022669146142077264
V2481_PLAC_NORMAL,-1.6668372408653167,-1.510579315102536,-1.1573103243263263,-1.7209152487502728,-1.386512759692849,1.6591604525716643,-1.0488570382166658,1.6665249117908483,-0.06667252460846293,-1.6688221715820653
V2440_PLAC_NORMAL,-1.1019161992252442,-1.377216952861414,-0.03563740419126979,-0.7425486211423462,-0.32589628173120166,0.6254016941110115,-1.3033972993205485,0.4189728189325321,1.7144974165426112,-0.5849387879758203
V2373_PLAC_NORMAL,-0.3198219894344225,0.10157900007078054,0.39449918452110233,0.1435325467086106,-0.1892212324337026,0.9873745265790901,-0.7455647360225721,0.9018673191949761,1.136950835628003,-0.39162151210035395
V2368_PLAC_NORMAL,-0.686852981313137,-1.0116091527913895,0.5666577973822284,-0.950534811822474,0.2914109584511926,0.6501289740338548,-0.5586909108248066,0.5999595368789111,-0.1780311708939631,-0.29134241364936375
V2367_PLAC_NORMAL,-0.29121206453709814,0.0083385346503649,0.7301063272179146,0.4486130426219073,0.38530522454650934,0.6838905707821062,0.38566490302500717,0.4892011546954874,1.2487672010866224,1.0503899772998568
V2508_PLAC_PE,-0.5412230895455722,-0.5315461905185072,-2.2399344733071613,-0.5010510997269544,-1.3756125824021477,-1.360138847406723,0.20939634594687193,0.6295038968419596,-2.0694744021774465,-0.8584319379093543
V2506_PLAC_PE,0.678048452561303,-0.010845985683220318,0.3301060591168126,-0.35483196371534614,0.22052687867026247,-1.4128900361102734,1.0388814383972507,-0.7326490920263822,-0.972729882529361,1.339914420306303
V2492_PLAC_PE,1.9484918408060745,1.7177277759668403,0.7558278712999233,1.3940323610766823,0.9103594244074621,-0.8226498617800092,1.6019833060792914,-2.0537500469992813,0.309889273050236,1.9903563021611133
V2442_PLAC_PE,-0.2142125551889967,-0.6482589605020215,-0.5284342586473945,-0.9899093923350897,-0.6847123140407622,0.013812947705111015,-1.0267548297137068,-0.6554700976414579,-0.4586410745753929,0.05803963919242701
V2446_PLAC_PE,-0.29906612214415873,0.40048705314306826,-0.6504595323272649,1.5499338590422056,-0.544541733339709,-0.9526580131464191,0.10833547886686067,-0.5758587413515046,-0.6631096314831678,-0.44042006989848265
V2441_PLAC_PE,0.6916546435379277,0.612860176903628,-0.42061617036383353,-0.001998491896925019,-0.3756280663922912,-1.0415243135335814,0.04001478009640907,-0.3870941689556838,-0.2309225530391463,-0.7318593647843696
V2409_PLAC_PE,1.4307471734141324,0.9387049879675365,1.6422887499668462,1.154570707286606,2.3433924756234514,0.5336668966504922,1.786066715908513,-1.0244241802097325,0.35722690966377446,0.5514050650821876
