cohort,feature,estimate,std_error,t_stat,p_value,n,df_resid,fdr
GSE190971,LEP,1.8574261940323948,0.1549937382923018,11.983878926318205,1.1794685995225254e-07,13,11,0.0012681374622322808
GSE190971,UCA1,1.8500288841623116,0.16283813548509082,11.361152463770976,2.037042912561285e-07,13,11,0.0012681374622322808
GSE190971,KIRREL1,-1.8462500571532825,0.1666914516942269,-11.075853250951228,2.6392038756134877e-07,13,11,0.0012681374622322808
GSE190971,COL17A1,1.8410259710613281,0.1718638700630155,10.7121175054786,3.7024267079908216e-07,13,11,0.0013082491943763634
GSE190971,OCRL,1.83716602778026,0.17557870565020559,10.463489982893087,4.6925454605120316e-07,13,11,0.0013082491943763634
GSE190971,KRT19,1.8344523178245948,0.1781394775076508,10.297842698824622,5.509557271911937e-07,13,11,0.0013082491943763634
GSE190971,PRXL2A,-1.829210542074355,0.1829740436261038,-9.997103992587244,7.414420818988624e-07,13,11,0.0013082491943763634
GSE190971,SLCO2A1,1.8286999911445605,0.18343739498645875,9.969068691144214,7.625366698661596e-07,13,11,0.0013082491943763634
GSE190971,CST6,1.827437320627878,0.18457778686951226,9.900635128536834,8.168049080393528e-07,13,11,0.0013082491943763634
GSE190971,FLT1,1.8244502362745176,0.18724486875930244,9.743659457070585,9.577380007476842e-07,13,11,0.0013481192185021828
GSE190971,SPRY1,-1.8217114185061367,0.1896535650193589,-9.605468889130481,1.103704946502445e-06,13,11,0.0013481192185021828
GSE190971,TPBG,1.821384614215591,0.18993869857605958,9.589328703788242,1.1222636574419837e-06,13,11,0.0013481192185021828
GSE190971,CRACD,-1.816129586537001,0.19445939963972322,-9.339376702292414,1.457174130451635e-06,13,11,0.001615781930035409
GSE190971,ADCY3,-1.811867032852769,0.19804121920518075,-9.14893899423828,1.7846575723635248e-06,13,11,0.0018375599218300152
GSE190971,JCAD,-1.8101719283603068,0.19944543661728237,-9.076025799646958,1.930399002606487e-06,13,11,0.0018551134415048342
GSE190971,RFLNB,-1.8041021313287386,0.20438404448061995,-8.827020406183452,2.533453848947944e-06,13,11,0.0022824835770365384
GSE190971,TRPC6,-1.8018260776694697,0.20620124770717882,-8.738191925143912,2.795479824435649e-06,13,11,0.002370402451131758
GSE190971,DIO2,1.798080810828118,0.2091522090417353,8.596996508266953,3.2740897762956538e-06,13,11,0.0024566447429589166
GSE190971,LAMA2,-1.7973160290349284,0.20974894214920842,-8.56889198400046,3.3795176045487998e-06,13,11,0.0024566447429589166
GSE190971,NR2F1,-1.7966048167207562,0.2103021304568294,-8.542970120264956,3.48000923877258e-06,13,11,0.0024566447429589166
GSE190971,SAMD5,-1.795921117311745,0.21083234499984038,-8.518242859335007,3.57887891794223e-06,13,11,0.0024566447429589166
GSE190971,SLC22A3,-1.791991204664202,0.21385067787251116,-8.379637710255528,4.192225913749229e-06,13,11,0.0027468607521225065
GSE190971,SLC35F2,1.789616636458294,0.21565081387984184,8.29867786845195,4.602226902295207e-06,13,11,0.0027917835313199823
GSE190971,MUC1,1.7893615572384702,0.2158431525990432,8.290101102083339,4.648130749336079e-06,13,11,0.0027917835313199823
GSE190971,ARHGEF4,1.7848069582431645,0.2192445368019459,8.140713489501753,5.532131068317641e-06,13,11,0.003189826773991952
GSE190971,SLC45A4,-1.7832391517952633,0.22040125428413626,-8.09087569663443,5.866068763408941e-06,13,11,0.003252283893251534
GSE190971,HTR1B,-1.776817078508033,0.22506701705126422,-7.8946133546672534,7.408355896999269e-06,13,11,0.003908273648325048
GSE190971,ADAMTS9,-1.7761283390491527,0.22556068272644403,-7.874281623820094,7.591513156649416e-06,13,11,0.003908273648325048
GSE190971,GJC1,-1.7729986429766784,0.2277880845891187,-7.783544280530701,8.470448889712333e-06,13,11,0.004080236770572116
GSE190971,EBF1,-1.7718082292327955,0.22862858190616456,-7.749723216846064,8.825568293565846e-06,13,11,0.004080236770572116
GSE190971,APLN,-1.771786071006379,0.22864419219578475,-7.749097206410666,8.832290521345506e-06,13,11,0.004080236770572116
GSE190971,SORBS2,-1.7705779209398447,0.22949342239852216,-7.715157595520029,9.205117870238297e-06,13,11,0.004080236770572116
GSE190971,HEYL,-1.770147995899533,0.229794727943833,-7.703170615525162,9.340812586117226e-06,13,11,0.004080236770572116
GSE190971,CD34,-1.768288337399433,0.23109267525130664,-7.6518580066480695,9.946488714857392e-06,13,11,0.0042170186713138035
GSE190971,BMP6,-1.7651968030557086,0.23323144197198065,-7.568434119048885,1.1023223701041477e-05,13,11,0.0044553306466398775
GSE190971,INHBA,1.7649126183683668,0.2334268746329217,7.5608801306353515,1.1126736266322276e-05,13,11,0.0044553306466398775
GSE190971,ARNT2,1.761442749984923,0.2357975157574564,7.470149735575502,1.2455081830822153e-05,13,11,0.00481058046039263
GSE190971,PPIAP46,1.7601274086996366,0.23668875216775487,7.436464101395631,1.299083578784065e-05,13,11,0.00481058046039263
GSE190971,NID1,-1.7599022331609802,0.2368409216792627,-7.430735451808004,1.3084386441275413e-05,13,11,0.00481058046039263
GSE190971,MYO1B,-1.759027197651982,0.23743114450803127,-7.4085781850429555,1.3453095838397675e-05,13,11,0.00481058046039263
GSE190971,TRIB2,-1.7579948606834614,0.23812521230651545,-7.382649000730614,1.3898807459211344e-05,13,11,0.00481058046039263
GSE190971,ETS1,-1.7577272719884094,0.23830472310466436,-7.375964895233775,1.401625940593066e-05,13,11,0.00481058046039263
GSE190971,HTRA4,1.756219338727,0.2393132881177487,7.3385784489446815,1.469318156903613e-05,13,11,0.004925632844596647
GSE190971,PHLDA1,-1.755121791042103,0.24004416504522955,-7.3116619631699855,1.5202248214597648e-05,13,11,0.0049804638184869346
GSE190971,OLFML2B,-1.7537867270778338,0.2409296068849941,-7.279249527497841,1.5840537765187396e-05,13,11,0.005074252264115029
GSE190971,EFNB1,1.7499127731660333,0.24347689839939432,7.187181965393339,1.7815832761929024e-05,13,11,0.005469242481816504
GSE190971,COL15A1,-1.7496479014893818,0.24364988575254626,-7.180992086597344,1.7957808646610652e-05,13,11,0.005469242481816504
GSE190971,ATP11A,1.7482178081970825,0.2445813137492324,7.147797930260194,1.874019087130276e-05,13,11,0.005469242481816504
GSE190971,MRI1,-1.747748126166682,0.24488628191405112,-7.136978488570859,1.9003049484683086e-05,13,11,0.005469242481816504
GSE190971,ALPK3,1.747438239726952,0.2450872409841941,7.129862136885558,1.9178097563206705e-05,13,11,0.005469242481816504
GSE190971,CD93,-1.7471359947395042,0.24528305173843515,-7.122938100927636,1.9350077459080243e-05,13,11,0.005469242481816504
GSE190971,RASL12,-1.745544818007633,0.24631077978337101,-7.08675771130614,2.0276066988249055e-05,13,11,0.005620759723761733
GSE190971,MCTP2,-1.7445807141669165,0.24693095207927823,-7.065054823936415,2.0854260230017365e-05,13,11,0.00567196530595661
GSE190971,WDR86-AS1,1.7427194580497434,0.24812288099768848,7.023614472967443,2.2008025716463115e-05,13,11,0.0057571977681514525
GSE190971,NPNT,1.7422679892331796,0.2484109439799462,7.01365230258869,2.2295480619500577e-05,13,11,0.0057571977681514525
GSE190971,EGLN3,1.7421582537431353,0.2484808997964858,7.011236095691948,2.2365804718451705e-05,13,11,0.0057571977681514525
GSE190971,TNFRSF11A,-1.740299230398886,0.249662372553371,-6.970610799698531,2.358454645007315e-05,13,11,0.0059342974537825565
GSE190971,CDH5,-1.7393957162713307,0.2502341188317744,-6.951073356390219,2.419586105934477e-05,13,11,0.0059342974537825565
GSE190971,CSPG4,-1.739259916187133,0.2503199149870647,-6.948148397529655,2.428883453161088e-05,13,11,0.0059342974537825565
GSE190971,RFTN1,-1.7372287526233479,0.2515988826656147,-6.904755435389578,2.571408241492097e-05,13,11,0.006177808300184762
GSE190971,RASEF,1.7347995815348722,0.25311803322707116,6.853717846245236,2.750613491657443e-05,13,11,0.006500015324957712
